区市町村,平成14年の出生数,平成15年の出生数,平成16年の出生数,平成17年の出生数,平成18年の出生数,平成19年の出生数,平成20年の出生数,平成21年の出生数,平成22年の出生数,平成23年の出生数,平成24年の出生数,平成25年の出生数,平成26年の出生数,平成27年の出生数,平成28年の出生数,平成14年の出生率（人口千対）,平成15年の出生率（人口千対）,平成16年の出生率（人口千対）,平成17年の出生率（人口千対）,平成18年の出生率（人口千対）,平成19年の出生率（人口千対）,平成20年の出生率（人口千対）,平成21年の出生率（人口千対）,平成22年の出生率（人口千対）,平成23年の出生率（人口千対）,平成24年の出生率（人口千対）,平成25年の出生率（人口千対）,平成26年の出生率（人口千対）,平成27年の出生率（人口千対）,平成28年の出生率（人口千対）
総数,100118,98534,99272,96542,101674,103837,106015,106613,108135,106027,107401,109986,110629,113194,111962,8.4,8.2,8.2,7.8,8.2,8.3,8.4,8.5,8.4,8.2,8.3,8.5,8.5,8.6,8.5
区部,65683,64815,65319,64171,67732,69709,71738,72743,73740,72995,74591,77107,78423,80619,80213,7.9,7.8,7.8,7.7,7.9,8.1,8.2,8.3,8.5,8.1,8.3,8.5,8.6,9,8.6
市部,33773,33074,33343,31755,33335,33582,33695,33297,33806,32447,32200,32290,31648,32030,31185,8.6,8.4,8.4,8,8.3,8.3,8.3,8.1,8.3,7.8,7.8,7.8,7.6,7.8,7.5
郡部,420,408,377,391,389,340,372,364,372,379,406,383,374,344,376,7,6.8,6.3,6.7,6.6,5.8,6.3,6.2,6.4,6.5,7,6.6,6.5,6,6.5
島部,242,237,233,225,218,206,210,209,217,206,204,206,184,201,188,8.3,8.4,8.1,7.9,7.6,7.3,7.5,7.5,7.9,7.4,7.4,7.6,6.9,7.7,7.2
千代田区,229,281,274,268,301,344,355,380,374,376,469,463,604,590,627,6.2,7.4,6.9,6.5,7,7.8,7.9,8.3,8.1,7.9,9.6,9.2,11.4,10.5,10.5
中央区,679,799,788,871,1046,1135,1216,1316,1449,1414,1496,1671,1790,1927,1974,8.5,9.6,9,9.1,10.1,10.7,10.8,11.4,12.2,11.2,11.6,12.5,12.9,14.1,13.4
港区,1344,1377,1300,1389,1812,1983,2266,2353,2450,2361,2610,2621,2854,2962,3048,8.1,8.1,7.5,7.9,9.2,9.6,10.7,11,12.8,11.4,12.4,12.3,13.1,13.1,12.3
新宿区,1753,1757,1859,1830,1941,1967,1994,2193,2164,2103,2279,2312,2329,2448,2557,6,5.9,6.2,6.3,6.3,6.3,6.3,6.9,7.2,6.5,7,7,7,8.1,7.5
文京区,1177,1133,1232,1233,1384,1469,1552,1539,1630,1712,1693,1834,1918,1982,2115,6.5,6.2,6.7,6.7,7.2,7.5,7.8,7.7,8.2,8.2,8.1,8.6,8.9,9.3,9.5
台東区,975,1049,1062,1040,1184,1219,1212,1185,1338,1313,1377,1416,1540,1543,1508,6,6.4,6.5,6.6,7.1,7.2,7.1,6.8,8,7.4,7.7,7.8,8.3,8.4,7.5
墨田区,1727,1762,1773,1791,1865,1944,1947,2045,2067,1971,2105,2127,2247,2463,2390,7.8,7.9,7.9,7.9,7.9,8.2,8.1,8.4,8.6,8,8.4,8.5,8.8,9.9,9.2
江東区,3387,3289,3555,3680,3942,4061,4054,4354,4393,4291,4319,4562,4562,4843,4683,8.6,8.2,8.7,9,9.2,9.3,9.1,9.5,9.9,9.2,9.2,9.6,9.5,10.2,9.3
品川区,2328,2362,2527,2568,2800,2805,2970,3142,3069,3216,3360,3506,3462,3738,3785,7.1,7.1,7.5,7.6,8,7.9,8.3,8.7,8.6,8.8,9.1,9.4,9.2,9.9,9.6
目黒区,1632,1798,1756,1774,1882,1910,2028,2074,2217,2178,2292,2342,2583,2515,2492,6.4,7,6.9,6.9,7,7.1,7.5,7.7,8.5,8.1,8.5,8.5,9.4,9.3,8.9
大田区,5349,5326,5342,5198,5421,5532,5550,5691,5527,5570,5546,5740,5803,5897,5732,8.1,8,8,7.9,8.1,8.2,8.2,8.3,8.1,8,8,8.2,8.2,8.4,7.9
世田谷区,6025,5988,6042,6147,6453,6829,7092,6955,7280,7240,7435,7733,7969,8019,7947,7.3,7.2,7.2,7.4,7.6,8,8.2,8,8.5,8.2,8.4,8.7,8.9,9,8.7
渋谷区,1402,1346,1385,1373,1437,1536,1504,1647,1646,1674,1826,1909,1993,2121,2093,7,6.7,6.8,6.9,7,7.5,7.4,8.1,8.2,8.1,8.7,9,9.3,9.8,9.2
中野区,2031,2046,2012,1983,2037,2098,2208,2290,2293,2203,2288,2383,2510,2632,2689,6.5,6.5,6.4,6.5,6.5,6.7,7,7.3,7.5,7,7.3,7.5,7.9,8.3,8.1
杉並区,3655,3547,3614,3428,3695,3809,3941,3964,4088,4090,4150,4402,4514,4747,4655,6.9,6.7,6.8,6.6,7,7.1,7.3,7.3,7.5,7.4,7.5,8,8.1,8.6,8.2
豊島区,1516,1466,1441,1463,1551,1654,1654,1776,1797,1864,1914,2025,2055,2045,2073,6,5.8,5.7,6.1,6.1,6.4,6.4,6.8,6.7,6.5,6.7,7,7,7.6,7
北区,2205,2172,2226,2220,2252,2252,2343,2389,2399,2328,2420,2619,2683,2731,2840,6.8,6.6,6.8,6.9,6.8,6.8,7,7.1,7.4,7,7.3,7.8,7.9,8.4,8.2
荒川区,1445,1369,1347,1337,1376,1446,1565,1581,1691,1733,1640,1765,1799,1777,1778,7.8,7.3,7.2,7.4,7.2,7.4,7.9,7.8,8.8,8.5,8,8.6,8.7,9,8.3
板橋区,4391,4198,4246,4085,4301,4179,4516,4346,4351,4359,4311,4418,4400,4517,4593,8.4,8,8.1,8,8.2,7.9,8.5,8.1,8.3,8.1,8,8.2,8.1,8.3,8.1
練馬区,6027,5854,5822,5559,5740,5974,6023,5948,6103,5912,5887,6164,6076,6154,6073,9,8.7,8.6,8.1,8.2,8.5,8.5,8.3,8.7,8.3,8.2,8.6,8.4,8.7,8.4
足立区,5692,5479,5352,5035,5207,5213,5495,5600,5503,5466,5498,5358,5326,5472,5135,9.2,8.8,8.6,8.3,8.3,8.3,8.6,8.7,8.3,8,8,7.8,7.7,8.4,7.6
葛飾区,3727,3739,3613,3534,3501,3817,3679,3679,3622,3606,3607,3595,3575,3573,3507,8.8,8.8,8.4,8.5,8.2,8.9,8.6,8.5,8.4,8.1,8.2,8.2,8.1,8.3,7.8
江戸川区,6987,6678,6751,6365,6604,6533,6574,6296,6289,6015,6069,6142,5831,5923,5919,11,10.4,10.5,9.9,10,9.9,9.9,9.4,9.6,8.9,9,9.1,8.6,9,8.6
八王子市,4323,4203,4267,4003,4301,4346,4263,4350,4300,4076,4022,3903,3685,3787,3557,7.9,7.7,7.7,7.2,7.6,7.7,7.5,7.6,7.5,7,6.9,6.7,6.4,6.7,6.2
立川市,1580,1509,1538,1493,1546,1548,1566,1457,1484,1486,1460,1439,1395,1501,1419,9.5,9,9,8.8,8.9,8.8,8.9,8.2,8.4,8.3,8.1,8,7.7,8.6,8
武蔵野市,962,939,908,908,1050,1003,1046,995,1121,1179,1155,1267,1299,1317,1276,7.1,6.9,6.7,6.7,7.6,7.2,7.5,7.1,8.2,8.5,8.3,9,9.1,9.2,8.8
三鷹市,1460,1434,1386,1358,1412,1486,1531,1574,1538,1509,1461,1527,1511,1589,1584,8.4,8.1,7.8,7.8,8,8.2,8.4,8.6,8.4,8.1,7.8,8.2,8,8.6,8.4
青梅市,1245,1221,1220,1071,1089,1078,1055,1044,969,904,940,860,880,794,818,8.8,8.6,8.6,7.6,7.7,7.6,7.5,7.4,7,6.5,6.8,6.3,6.4,5.8,6
府中市,2317,2179,2305,2132,2352,2281,2345,2300,2365,2291,2245,2248,2234,2293,2226,9.9,9.2,9.6,8.8,9.5,9.2,9.3,9.1,9.4,9,8.7,8.7,8.6,9,8.5
昭島市,955,976,973,917,923,943,960,955,957,983,943,936,895,882,852,8.8,8.9,8.9,8.5,8.3,8.4,8.6,8.5,8.7,8.8,8.4,8.4,8,8.1,7.6
調布市,1798,1823,1911,1873,1831,1964,2020,2028,2072,1956,2039,2063,2076,1939,2050,8.6,8.6,8.9,8.8,8.4,9,9.1,9,9.4,8.7,9.1,9.1,9.2,8.6,8.8
町田市,3242,3285,3315,3214,3400,3345,3304,3303,3384,3140,3046,2959,2944,2841,2777,8.3,8.2,8.2,8,8.3,8.1,7.9,7.9,8,7.3,7.1,6.9,6.9,6.6,6.4
小金井市,906,946,915,849,865,846,895,943,957,994,994,1077,1100,1107,1014,8,8.3,8,7.6,7.6,7.4,7.7,8.1,8.2,8.3,8.3,8.9,9.1,9.3,8.3
小平市,1633,1695,1547,1458,1578,1567,1579,1609,1534,1512,1553,1637,1580,1635,1570,9,9.3,8.4,8.1,8.5,8.4,8.5,8.6,8.3,8.1,8.3,8.7,8.3,8.8,8.2
日野市,1633,1528,1551,1421,1611,1580,1527,1492,1576,1452,1496,1497,1457,1558,1568,9.6,8.8,8.9,8.1,9,8.8,8.5,8.2,8.8,8,8.3,8.2,8,8.5,8.4
東村山市,1290,1236,1228,1155,1165,1251,1240,1291,1312,1247,1174,1129,1077,1110,969,9,8.6,8.4,8.1,8,8.6,8.4,8.6,8.6,8.1,7.7,7.4,7.1,7.5,6.5
国分寺市,993,922,926,958,930,940,980,905,914,915,918,981,933,1046,1020,8.6,8,8,8.3,7.9,7.9,8.2,7.5,7.7,7.6,7.6,8.1,7.6,8.6,8.3
国立市,643,585,573,521,559,556,579,574,570,522,548,608,570,570,563,8.8,8,7.8,7.3,7.7,7.6,7.9,7.8,7.7,6.9,7.3,8.1,7.6,7.9,7.6
福生市,598,603,569,569,528,524,548,506,509,457,431,449,419,431,401,9.7,9.9,9.3,9.6,8.7,8.7,9.1,8.4,8.8,7.7,7.3,7.7,7.2,7.7,6.9
狛江市,616,610,642,602,638,607,591,608,612,559,627,635,664,698,739,8,7.9,8.3,7.8,8.2,7.8,7.6,7.8,7.8,7.1,8,8,8.2,8.8,9.1
