No,区市町村,名称,郵便番号,所在地,電話
1,千代田区,東京逓信病院,102-8798,千代田区富士見2-14-23,03-5214-7111 
2,千代田区,日本大学病院,101-8309,千代田区神田駿河台1-6,03-3293-1711 
3,千代田区,公益社団法人東京都教職員互助会三楽病院,101-8362,千代田区神田駿河台2-5,03-3292-3981 
4,千代田区,社会福祉法人三井記念病院,101-8643,千代田区神田和泉町1,03-3862-9111
5,千代田区,公益財団法人佐々木研究所附属杏雲堂病院,101-0062,千代田区神田駿河台1-8,03-3294-1274
6,中央区,医療法人社団宮﨑会木挽町医院,104-0061,中央区銀座4-11-4,03-3541-3800 
7,中央区,聖路加国際病院,104-8560,中央区明石町9-1,03-3541-5151 
8,中央区,医療法人社団健育会石川島記念病院,104-0051,中央区佃2-5-2,03-3532-3201
9,港区,東京慈恵会医科大学附属病院,105-8471,港区西新橋3-19-18,03-3433-1111 
10,港区,国際医療福祉大学三田病院,108-8329,港区三田1-4-3,03-3451-8121
11,港区,東京都済生会中央病院,108-0073,港区三田1-4-17,03-3451-8211 
12,港区,公益財団法人心臓血管研究所付属病院,106-0031,港区西麻布3-2-19,03-3408-2151 
13,港区,国家公務員共済組合連合会虎の門病院,105-8470,港区虎ノ門2-2-2,03-3588-1111
14,港区,独立行政法人地域医療機能推進機構東京高輪病院,108-8606,港区高輪3-10-11,03-3443-9191 
15,港区,北里大学北里研究所病院,108-8642,港区白金5-9-1,03-3444-6161 
16,新宿区,独立行政法人地域医療機能推進機構東京新宿メディカルセンター,162-8543,新宿区津久戸町5-1,03-3269-8111 
17,新宿区,東京女子医科大学病院,162-8666,新宿区河田町8-1,03-3353-8111 
18,新宿区,国立研究開発法人国立国際医療研究センター病院,162-8655,新宿区戸山1-21-1,03-3202-7181 
19,新宿区,医療法人社団鉄友会柳町病院,162-0061,新宿区市谷柳町25,03-3268-3521 
20,新宿区,医療法人社団仁圭会林外科病院,160-0015,新宿区大京町27,03-3357-3161 
21,新宿区,慶應義塾大学病院,160-8582,新宿区信濃町35,03-3353-1211 
22,新宿区,社会福祉法人聖母会聖母病院,161-0032,新宿区中落合2-5-1,03-3951-1111 
23,新宿区,医療法人社団悦伝会目白病院,161-0033,新宿区下落合3-22-23,03-3953-9909
24,新宿区,東京医科大学病院,160-0023,新宿区西新宿6-7-1,03-3342-6111 
25,新宿区,医療法人社団広恵会 春山記念病院,169-0073,新宿区百人町1-24-5,03-3363-1661 
26,新宿区,独立行政法人地域医療機能推進機構東京山手メディカルセンター,169-0073,新宿区百人町3-22-1,03-3364-0251 
27,新宿区,公益財団法人東京都保健医療公社大久保病院,160-8488,新宿区歌舞伎町2-44-1,03-5273-7711 
28,文京区,東京健生病院,112-0012,文京区大塚4-3-8,03-3944-6111 
29,文京区,順天堂大学医学部附属順天堂医院,113-8431,文京区本郷3-1-3,03-3813-3111 
30,文京区,東京大学医学部附属病院,113-8655,文京区本郷7-3-1,03-3815-5411 
31,文京区,日本医科大学付属病院,113-8603,文京区千駄木1-1-5,03-3822-2131 
32,文京区,東京都立駒込病院,113-0021,文京区本駒込3-18-22,03-3823-2101
33,文京区,東京医科歯科大学医学部附属病院,113-8519,文京区湯島1-5-45,03-3813-6111 
34,文京区,医療法人社団大坪会東都文京病院,113-0034,文京区湯島3-5-7,03-3831-2181
35,台東区,公益財団法人ﾗｲﾌ・ｴｸｽﾃﾝｼｮﾝ研究所付属永寿総合病院,110-8645,台東区東上野2-23-16,03-3833-8381 
36,台東区,医療法人社団全仁会上野病院,110-0015,台東区東上野3-23-4,03-3833-8111 
37,台東区,浅草寺病院,111-0032,台東区浅草2-30-17,03-3841-3330
38,台東区,医療法人社団哺育会浅草病院,111-002４,台東区今戸2-26-15,03-3876-1711 
39,台東区,東京都台東区立台東病院,111-0031,台東区千束3-20-5,03-3876-1001
40,台東区,滝口外科胃腸科整形外科,111-0042,台東区寿3-2-7,03-3844-2276
41,墨田区,医療法人社団伯鳳会東京曳舟病院,131-0032,墨田区東向島2-27-1,03-3611-6363 
42,墨田区,医療法人社団隆靖会墨田中央病院,131-0046,墨田区京島3-67-1,03-3617-1414 
43,墨田区,東京都済生会向島病院,131-0041,墨田区八広1-5-10,03-3610-3651 
44,墨田区,医療法人社団仁寿会中村病院,131-0041,墨田区八広2-1-1,03-3612-7131 
45,墨田区,東京都立墨東病院,130-8575,墨田区江東橋4-23-15,03-3633-6151 
